P41570	GO:0004616; GO:0006098; GO:0019521
P48815	GO:0004022
P48814	GO:0004022
Q9XMN9	GO:0000276; GO:0015078; GO:0015986; GO:0016021
Q06590	GO:0005576; GO:0042742; GO:0045087
Q06589	GO:0005576; GO:0042742; GO:0045087
P84030	GO:0005739; GO:0005758; GO:0009055; GO:0020037; GO:0046872; GO:0055114; GO:0070469
P36190	GO:0005576; GO:0042742; GO:0044179; GO:0045087
P41571	GO:0004345; GO:0006006; GO:0006098; GO:0006739; GO:0050661; GO:0051156
P17110	GO:0005576
O17512	GO:0005576; GO:0042742; GO:0044179; GO:0045087
O17513	GO:0005576; GO:0042742; GO:0044179; GO:0045087
P36191	GO:0005576; GO:0042742; GO:0044179; GO:0045087
Q17313	GO:0005576; GO:0042742; GO:0044179; GO:0045087
P91902	GO:0005524
Q34048	GO:0006120; GO:0008137; GO:0016021; GO:0031966; GO:0070469
Q34052	GO:0005743; GO:0008137; GO:0016021; GO:0070469
Q34049	GO:0008137; GO:0016021; GO:0031966; GO:0042773; GO:0070469
Q34050	GO:0008137; GO:0016021; GO:0031966; GO:0070469
P28755	GO:0004784; GO:0005737; GO:0046872
Q9U3U0	GO:0005840; GO:0042254
Q7Z0Q2	GO:0004521; GO:0009303; GO:0016021
Q9NDV2	GO:0004521; GO:0009303; GO:0016021
Q8I7N7	GO:0003735; GO:0005840; GO:0006412
O61374	GO:0000166; GO:0003723; GO:0005634
P68197	GO:0005634; GO:0005737
P27587	GO:0005576; GO:0052689
P27878	GO:0005576; GO:0052689
Q17320	GO:0005524; GO:0006810; GO:0016021; GO:0016887; GO:0031409
W8BZW3	GO:0005524
W8CBQ0	GO:0016491
W8BSB7	GO:0003677; GO:0004075; GO:0004736; GO:0005524; GO:0006090; GO:0006094; GO:0009374; GO:0046872
W8B7I7	GO:0004721
W8BWB7	GO:0005509
W8AP00	GO:0000982; GO:0000987; GO:0005634; GO:0006351; GO:0045944
W8BLC1	GO:0016021; GO:0016791
W8BGP3	GO:0005615; GO:0019239
W8AG83	GO:0004674; GO:0005089; GO:0005096; GO:0007165; GO:0035023
W8C6U8	GO:0006401; GO:0032299
W8B1H6	GO:0003924; GO:0005525; GO:0072583
W8BYN0	GO:0016491
W8B2M7	GO:0005525; GO:0005622; GO:0007264
W8AL20	GO:0005576; GO:0006629; GO:0052689
W8BN03	GO:0004674
W8C2A8	GO:0004983; GO:0016021
W8BRW1	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8BPS1	GO:0016740
W8BS13	GO:0003993; GO:0016021
W8C5W8	GO:0008270
W8BFV7	GO:0004672; GO:0005524
W8C6T2	GO:0005622; GO:0016301; GO:0046854; GO:0048015
W8ANJ3	GO:0005220; GO:0005783; GO:0016021
W8B2C9	GO:0008271; GO:0016021
W8BFY1	GO:0005525
M9TJE1	GO:0003723; GO:0008270
W8B3E2	GO:0005215; GO:0005622
