P52697	GO:0005829; GO:0006006; GO:0006098; GO:0017057
C4ZSX9	GO:0005886; GO:0016021; GO:0055085
C4ZSY0	GO:0005886; GO:0016021
C4ZZY9	GO:0005524; GO:0005886; GO:0006631; GO:0008654; GO:0008779; GO:0008922; GO:0016021
P00509	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0009094; GO:0030170; GO:0033585; GO:0080130
C4ZTB5	GO:0008774; GO:0019380; GO:0019439; GO:0051287
P0A6A3	GO:0000287; GO:0005524; GO:0005829; GO:0006083; GO:0006085; GO:0008270; GO:0008776; GO:0016020; GO:0019413; GO:0019542; GO:0044011
B1XEZ2	GO:0006633; GO:0008770
P00350	GO:0004616; GO:0005829; GO:0006098; GO:0019521; GO:0042803
P67662	GO:0003677; GO:0003700; GO:0006351; GO:0006352; GO:0006355; GO:0045893
B1XHL4	GO:0005886; GO:0016021
P46478	GO:0005886; GO:0016021
P31119	GO:0005524; GO:0005886; GO:0006631; GO:0008654; GO:0008779; GO:0008922; GO:0016021
C4ZVI3	GO:0009447; GO:0019145; GO:0033737; GO:0051287
C4ZRS7	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:2001295
P77580	GO:0008774; GO:0019380; GO:0019439; GO:0051287
B1XC15	GO:0004674; GO:0004721; GO:0005524; GO:0005737; GO:0006006; GO:0006097; GO:0006099; GO:0008772; GO:0101014
P0CK95	GO:0005886
C4ZYI6	GO:0000287; GO:0005737; GO:0006633; GO:0008897
P24180	GO:0005886; GO:0006855; GO:0015238; GO:0031226; GO:0042493; GO:0046677
P24181	GO:0005215; GO:0005886; GO:0016021
C4ZSX8	GO:0005886; GO:0006810; GO:0016021
P46481	GO:0005886; GO:0006810; GO:0016021; GO:0046942
B1XDF5	GO:0009447; GO:0019145; GO:0033737; GO:0051287
P77674	GO:0005829; GO:0009447; GO:0019145; GO:0033737; GO:0042802; GO:0051287
P77357	GO:0005737; GO:0046657; GO:0046982; GO:0071713
P77744	GO:0003677; GO:0003700; GO:0006351
P46133	GO:0005886; GO:0006865; GO:0015291; GO:0015558; GO:0015814; GO:0016021
B1X927	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:2001295
P0A9Q5	GO:0003677; GO:0003729; GO:0003989; GO:0005524; GO:0005829; GO:0006633; GO:0008270; GO:0009329; GO:0017148; GO:0042759; GO:2001295
P76518	GO:0036412
C4ZTG1	GO:0006633; GO:0008770
P76052	GO:0005737; GO:0046657; GO:0046982; GO:0071713
P24182	GO:0003989; GO:0004075; GO:0005524; GO:0005737; GO:0005829; GO:0006633; GO:0045717; GO:0046872; GO:2001295
P0A9G6	GO:0004451; GO:0005829; GO:0006097; GO:0006099; GO:0043169; GO:0046872; GO:0046912
P37623	GO:0000287; GO:0006633; GO:0008897; GO:0018070; GO:0019878
P31224	GO:0005886; GO:0005887; GO:0006855; GO:0015238; GO:0015307; GO:0016020; GO:0042493; GO:0042802
P32705	GO:0005886; GO:0005887; GO:0006814; GO:0006847; GO:0015123; GO:0015293; GO:0015654; GO:0015710; GO:0043879
P31441	GO:0000034; GO:0004096; GO:0006146; GO:0008198; GO:0030145; GO:0046101
P31440	GO:0005886; GO:0005887; GO:0015207; GO:0015853
P37686	GO:0004022; GO:0008743; GO:0046872
P33234	GO:0000987; GO:0003700; GO:0005829; GO:0006351; GO:0045893
B1X903	GO:0000166; GO:0005737; GO:0016791; GO:0046872
C5A0V3	GO:0004674; GO:0004721; GO:0005524; GO:0005737; GO:0006006; GO:0006097; GO:0006099; GO:0008772; GO:0101014
P11071	GO:0004674; GO:0004722; GO:0005524; GO:0005737; GO:0006006; GO:0006097; GO:0006099; GO:0008772; GO:0016208; GO:0018105; GO:0050790; GO:0101014
P21515	GO:0006633; GO:0008770
P0AE06	GO:0005886; GO:0006855; GO:0015238; GO:0015721; GO:0030288; GO:0031226; GO:0046677
P0ACS9	GO:0003700; GO:0006351; GO:0008144; GO:0042493; GO:0043565; GO:0045892
C5A160	GO:0005887; GO:0006814; GO:0015123; GO:0015293; GO:0043879
