Control,Treatment
25189.73438,13440.20801
43690.0625,40345.23047
57807.32422,60119.07813
14720.61035,16155.04102
16522.56445,18600.73633
17222.83984,24763.6582
20893.17969,17165.69922
37593.65625,28032.05664
29056.75195,32836.45703
35199.125,35886.66016
12021.93359,12513.96387
46519.11328,58789.84375
26430.20703,25346.23242
27706.61523,27926.76172
35944.17188,20451.27734
36172.87891,32129.89258
48340.95703,50244.53516
2379.226074,9749.27832
26165.05859,32865.58203
10506.63672,6973.583008
75163.5,66692.17188
46648.07813,49067.90234
20124.60156,16441.28516
28516.96094,19331.14453
