PG.ProteinGroups,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
A0A024RBG1,25189.73438,13440.20801,19565.13672,17490.47461,27999.10352,11120.79199,8287.486328,10820.16211,17296.73242,18318.8418,18477.61914,17006.46875
A0A096LP49,43690.0625,40345.23047,37148.71484,37204.87891,39428.95703,39318.33203,36062.07813,34250.29297,14340.24121,15824.94238,15143.30762,17399.125
A0A0B4J2A2,1060724,836391.25,1103098.75,1063019,973396.5625,821988.5625,936122.9375,1124464.625,53010.74219,57187.71484,52963.16406,34816.89453
A0A0B4J2F2,57807.32422,60119.07813,63978.08594,69136.92188,68128.5625,31073.24219,72903.39063,71065.42188,24703.76563,22421.81445,23169.6875,19809.05469
A0AV96,14720.61035,16155.04102,15082.32422,14969.2666,14932.67773,13164.33301,14025.50586,12534.11523,23362.89258,20095.57617,22745.88672,19496.88086
A0AVK6,16522.56445,18600.73633,17865.74805,18601.67969,18643.3125,5125.667969,14807.13867,16103.45508,154131.5469,176692.5625,190372.8125,204635.875
A0AVT1,17222.83984,24763.6582,30250.36914,28884.49023,16928.29102,28179.63281,22732.48242,16664.99219,22134.22461,21360.31055,22337.79883,14918.99512
A0FGR8,20893.17969,17165.69922,18176.4043,20293.74805,18935.82813,12087.23145,14606.60352,11881.54395,70459.24219,83871.04688,81164.91406,90507.8125
A0JLT2,37593.65625,28032.05664,28467.55859,21959.01367,34682.69531,23316.44727,35804.23438,32016.7832,11785.7793,12169.8584,14715.14355,10873.0332
A0MZ66,29056.75195,32836.45703,30119.30664,30416.28125,29155.36328,30256.35938,33450.51172,30839.00195,58996.48047,55405.6875,67356.52344,58013.51563
A1L0T0,35199.125,35886.66016,36962.28516,38643.55469,29708.70898,31485.83984,25030.81836,31670.04883,23465.89453,22845.08398,20825.53125,20014.25586
A1L390,12021.93359,12513.96387,11311.03711,10823.97461,11329.15039,9397.3125,12337.43359,9379.056641,64647.27344,60790.59375,65065.32031,66674.29688
A2RRD8,46519.11328,58789.84375,54326.01953,62714.16016,57500.93359,64203.45313,65464.58203,70372.01563,41080.06641,41901.56641,42944.40234,44885.59375
A3KN83,26430.20703,25346.23242,26637.74609,25969.67578,26256.34961,25992.6582,25837,25177.88867,53103.19141,56328.77344,55040.09375,53754.82031
A5YKK6,27706.61523,27926.76172,26817.80273,27684.26758,24960.61914,26118.64844,25467.98047,24301.88672,41879.18359,38499.00391,39736.72266,39057.60938
A6NCC3,35944.17188,20451.27734,27322.03125,25434.79883,41856.31641,7629.362793,2581.510742,10482.42383,73940.39063,74093.625,74838.21875,51702.09375
A6NDG6,36172.87891,32129.89258,29492.2793,36041.41406,32832.60156,28935.81445,26838.32031,24399.03516,15375.62402,17438.37891,16520.64648,20086.15039
A6NDU8,48340.95703,50244.53516,40859.60547,44103.26953,37341.36328,42296.36719,38651.26172,37392.52344,32197.17383,33058.63281,35605.98828,25792.39063
A6NED2,2379.226074,9749.27832,11220.31348,10147.27832,8857.213867,6130.551758,6130.416992,3188.316162,13436.84082,12738.18359,14416.3291,12541.30176
A6NFI3,26165.05859,32865.58203,25063.63672,30182.51367,29647.57813,31624.83203,32113.07813,31675.62695,21856.69531,21322.02539,27716.71875,34278.25781
