GO.ID,Significant,p_adjust
GO:1903047,8,3.4464E-08
GO:0000278,8,4.308E-08
GO:0022402,8,7.7185E-07
GO:0006940,4,7.7185E-07
GO:0006939,4,6.0312E-06
GO:0007049,8,7.41933E-06
GO:0006937,4,1.94886E-05
GO:0000280,5,0.000019745
GO:0048522,9,0.000101365
GO:0098813,4,0.000123656
GO:0006936,4,0.000196505
GO:0007059,4,0.00020822
GO:0007062,3,0.000259848
GO:0048518,9,0.000270882
GO:0003012,4,0.000312174
GO:0016043,10,0.000388917
GO:0044057,4,0.00040208
GO:0071840,10,0.000469462
GO:0043565,7,6.78933E-06
GO:0003688,2,6.78933E-05
GO:0004222,3,0.000565777
GO:0008017,2,0.001131554
GO:0005488,15,0.001197066
