A0JM08	GO:0005856; GO:0005737; GO:0005874
A0JM12	GO:0014841; GO:0007517; GO:0007155; GO:0016020; GO:0014719; GO:0016021; GO:0014816; GO:0006909; GO:0005886; GO:0051147; GO:0055001; GO:0048641; GO:0043654; GO:0001891; GO:0034109
A0JM13	GO:0005856; GO:0005814; GO:0005737; GO:0035058; GO:0061511; GO:0030030; GO:0034451; GO:0005929; GO:0071539; GO:0042995
A0JM20	GO:0000166; GO:0004714; GO:0004713; GO:0016020; GO:0016021; GO:0016310; GO:0016740; GO:0016301; GO:0018108; GO:0007155; GO:0004672; GO:0005524; GO:0005886; GO:0006468
A0JM23	GO:2000095; GO:0090090; GO:0072372; GO:0016055; GO:0005929; GO:0060271; GO:0042995; GO:0060027
A0JM24	GO:0004735; GO:0016491; GO:0006561; GO:0055114; GO:0008150; GO:0005575; GO:0003674
A0JM41	GO:0043209; GO:0016020; GO:0016021; GO:0005887; GO:0005886
A0JM49	GO:0008270; GO:0046872; GO:0016874; GO:0016567; GO:0061630; GO:0051865; GO:0004842
A0JM51	GO:0000166; GO:0005737; GO:0003723; GO:0006397; GO:0005634; GO:0003676
A0JM59	GO:0005856; GO:0004843; GO:0005737; GO:0005813; GO:0046872; GO:0005815; GO:0006508; GO:0048471; GO:0016787; GO:0036459; GO:0071108; GO:0070536; GO:0016579; GO:0008270; GO:0008233; GO:0008277; GO:0004197; GO:0008234; GO:0006511; GO:0006897
A0JM64	GO:0003723; GO:0005634
A0JM80	GO:0006281; GO:0045739; GO:0042393; GO:0070530; GO:0070531; GO:0031572; GO:0010212; GO:0005634; GO:0006302; GO:0006974; GO:0070537; GO:0016568
A0JM83	GO:0005634; GO:0005515
A0JM95	GO:0007264; GO:0005085; GO:0005088; GO:0016477; GO:0043547; GO:0005622; GO:0046579
A0JM98	GO:0007283; GO:0005737; GO:0033391; GO:0007275; GO:0007286; GO:0030719; GO:0071546; GO:0030154; GO:0043046
A0JMA0	GO:0008152; GO:0006826; GO:0003723; GO:0005737; GO:0006879; GO:0046872; GO:0030371; GO:0030350; GO:0051539; GO:0017148; GO:0051536; GO:0030316; GO:0006417; GO:0005739; GO:0050892; GO:0005829; GO:0010468; GO:0009791; GO:0055072; GO:0034101; GO:0006782
A0JMA6	GO:0003677; GO:0048793; GO:0001655; GO:0045893; GO:2000611; GO:0007275; GO:0006351; GO:0039003; GO:0006355; GO:0007367; GO:0039020; GO:0042981; GO:1900212; GO:0044212; GO:0005654; GO:0005634; GO:1900218; GO:0034672; GO:0007422; GO:0043049; GO:0071300; GO:0035565; GO:0090190; GO:0072221; GO:0003700; GO:0071371; GO:0072284; GO:0001823; GO:0072289; GO:0042472; GO:0072108; GO:0072305; GO:0071599; GO:2000612; GO:0072307; GO:2000594; GO:0000979; GO:0000978; GO:0045944; GO:0030878; GO:0005515; GO:0003337; GO:0007417; GO:0001077; GO:0001658; GO:0072278; GO:0006366; GO:1900215
A0JMA9	GO:0005856; GO:0000166; GO:0005737; GO:0051013; GO:0008017; GO:0031122; GO:0005874; GO:0005634; GO:0005524; GO:0016787; GO:0008568
A0JP75	GO:0046872; GO:0005509
A0JP80	GO:0005789; GO:0019915; GO:0016020; GO:0007010; GO:0016021; GO:0008654; GO:0030176; GO:0022604; GO:0034389; GO:0005783; GO:0010890; GO:0035356; GO:0005739; GO:0010866; GO:0030730; GO:0003674
A0JP85	GO:0000288; GO:0048387; GO:0032947; GO:0000122; GO:0005737; GO:0006417; GO:0010606; GO:0031047; GO:0030331; GO:0033147; GO:0030014; GO:0017148; GO:0030015; GO:0060213; GO:0006351; GO:1900153; GO:0006355; GO:0000932; GO:0042974; GO:0005634; GO:0004535; GO:0016020; GO:2000036; GO:0061014; GO:0035195; GO:0005778; GO:0005615; GO:0043231; GO:0070016; GO:0090503; GO:0019904; GO:0044822
A0JP86	GO:0005604; GO:0007155; GO:0005576; GO:0005578
A0JP89	GO:0003723; GO:0005737; GO:0005634; GO:0034340; GO:0034342; GO:0034341; GO:0051607; GO:0045071
