Organism ID,Organism
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) 
10116,Rattus norvegicus (Rat)
9598,Pan troglodytes (Chimpanzee)
9823,Sus scrofa (Pig)
7227,Drosophila melanogaster (Fruit fly)
7213,Ceratitis capitata (Mediterranean fruit fly)
83333,Escherichia coli (strain K12)
7165,Anopheles gambiae (African malaria mosquito)
43151,Anopheles darlingi (Mosquito)
9031,Gallus gallus (Chicken)
7955,Danio rerio (Zebrafish) (Brachydanio rerio)
9544,Macaca mulatta (Rhesus macaque)
6265,Toxocara canis (Canine roundworm)
9913,Bos taurus (Bovine)
7091,Bombyx mori (Silk moth)
3702,Arabidopsis thaliana (Mouse-ear cress)
9646,Ailuropoda melanoleuca (Giant panda)
400682,Amphimedon queenslandica (Sponge)
6239,Caenorhabditis elegans
7460,Apis mellifera (Honeybee)
9615,Canis lupus familiaris (Dog) (Canis familiaris)
10141,Cavia porcellus (Guinea pig)
9685,Felis catus (Cat) (Felis silvestris catus)
9595,Gorilla gorilla gorilla (Western lowland gorilla)
8665,Ophiophagus hannah (King cobra) (Naja hannah)
13735,Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)
9940,Ovis aries (Sheep)
9986,Oryctolagus cuniculus (Rabbit)
8364,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
50452,Arabis alpina
85962,Helicobacter pylori
4577,Zea mays
83332,Mycobacterium tuberculosis H37Rv
575584,Acinetobacter baumannii
102618,Helicobacter pylori
6945,Ixodes scapularis
