,A1,A2,A3,A4,B1,B2,B3,B4
A0A024QZP7,1378000000,1246500000,844030000,1702400000,1614600000,1809700000,1942000000,1703400000
A0A024R1R8,106590000,529060000,246140000,54157000,215250000,72858000,451760000,303700000
A0A024R216,61531000,43798000,45403000,85198000,70864000,74868000,NA,NA
A0A024R412,701770000,752100000,417460000,89648000,62935000,91468000,NA,NA
A0A024R4E5,2751800000,2825600000,2394500000,1573800000,1576600000,1414400000,3144000000,3262900000
A0A024R4M0,7149500000,10455000000,8402700000,8592100000,9234400000,8143000000,5975900000,6474900000
K7EN05,132210000,141820000,83057000,129620000,143190000,125790000,149720000,98776000
A0A024RA52,1747700000,1387500000,1696100000,1250000000,1403400000,1580100000,2127000000,1807600000
A0A024RAC6,92182000,74230000,84870000,107150000,88054000,63953000,35721000,38266000
A0A024RCR6,263400000,280760000,256120000,343780000,348910000,267360000,401670000,483030000
G5E9M9,NA,NA,NA,23798000,28796000,26064000,NA,NA
A0A087WV90,NA,34288000,75104000,80275000,119570000,73337000,123840000,126730000
A0A075B6P0,NA,NA,12629000,NA,12524000,14047000,17627000,15891000
A0A075B6R3,NA,NA,NA,NA,13074000,NA,NA,NA
A0A075B730,NA,NA,NA,10760000,34204000,230020000,1068700000,930040000
A0A075B746,NA,38000000,29904000,37157000,45190000,44218000,41831000,46468000
A0A087WT45,123130000,97979000,101870000,76436000,83053000,48073000,41815000,55907000
A0A087WSV0,11020000,15236000,NA,NA,NA,NA,NA,NA
V9HW75,2183400000,1587000000,1627500000,1187300000,1074100000,1038100000,375630000,430450000
F8W809,1240300000,874320000,1069500000,2190900000,1968700000,1808800000,3335700000,2880000000
A0A087X2I2,696020000,784230000,519800000,726260000,694970000,804380000,244870000,287530000
A0A087WT20,173980000,262500000,183370000,165430000,230960000,166130000,201120000,267860000
A0A087WT87,NA,NA,NA,NA,NA,NA,83707000,93300000
A0A087WTA8,645360000,578480000,430190000,77589000,123390000,95428000,NA,NA
A0A087WTE7,NA,NA,34189000,43374000,29893000,41023000,NA,NA
A0A087WTK0,NA,19682000,19472000,31602000,27896000,25235000,12260000,NA
A0A087WTP3,3103200000,2637900000,2766300000,3044000000,3168900000,3013700000,1438600000,1422800000
C9JGR9,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C4DH00,22514000,NA,NA,17570000,NA,NA,NA,NA
A0A087WVR3,207170000,235250000,167680000,216520000,228210000,152720000,99452000,112590000
H0YI50,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WU03,NA,NA,45288000,NA,24659000,NA,73497000,NA
A0A087WU53,NA,NA,NA,NA,NA,NA,32817000,NA
A0A087WUB9,302160000,327740000,265800000,372610000,432530000,433340000,342690000,374780000
E9PL01,337630000,322650000,350420000,294420000,289510000,283840000,337930000,366430000
A0A087WUD1,10462000,NA,20776000,44616000,49276000,42495000,35459000,47695000
A0A087WUD3,122800000,NA,NA,94407000,NA,137720000,NA,NA
A0A0A0MQV6,NA,43225000,61677000,34120000,55691000,44333000,18955000,23271000
G3V4U3,30302000,NA,NA,NA,NA,NA,NA,NA
A0A087WUK2,3144800000,3128800000,2639000000,1964000000,2116800000,2069800000,1862100000,1867700000
A0A087WUL4,146920000,123470000,110180000,149400000,75599000,134890000,257370000,290890000
C9J0K3,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUQ6,359940000,318260000,266000000,398110000,446440000,461430000,304640000,307930000
E7ETK0,2498000000,3132800000,2595300000,2623800000,3215500000,2255800000,2256200000,2311900000
A0A087WUT6,1365400000,1464800000,1489100000,1170000000,1047100000,1141200000,1835500000,1936300000
A0A087WUY7,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WV05,242770000,257590000,265790000,369850000,402630000,303800000,411060000,356520000
F8W7C6,445020000,645780000,492420000,552280000,NA,341890000,NA,NA
A0A087WV25,NA,NA,33140000,28372000,44265000,73319000,105910000,108400000
Q6IAK0,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WVA8,NA,NA,NA,NA,NA,NA,26887000,14599000
A0A087WVC4,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WVF7,36854000,43347000,61766000,53480000,67461000,43035000,93016000,105480000
B3KPU0,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WXE0,NA,NA,NA,NA,NA,NA,NA,NA
Q5W1L7,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WVM4,336270000,391610000,354020000,529990000,480020000,484380000,487200000,419480000
A0A087WVP1,1226200000,1379900000,615180000,403520000,352720000,428170000,58351000,101580000
A0A087WVQ6,7436700000,6069500000,6588600000,12745000000,11180000000,13587000000,11467000000,11458000000
D6RAC5,NA,NA,NA,23548000,19710000,NA,22416000,8570800
A0A087WW00,NA,NA,NA,NA,NA,NA,78826000,76142000
C9JAG1,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WW65,15620000,30488000,32336000,NA,43065000,29104000,19225000,23369000
A0A087WW77,52773000,37027000,NA,35209000,NA,45426000,NA,NA
A0A087WWA3,109760000,129180000,102160000,138800000,113980000,155420000,NA,43198000
A0A087WWD4,911800000,815480000,948280000,59856000,77787000,NA,63857000,118040000
A0A087WWF1,NA,NA,NA,NA,NA,18026000,NA,NA
A0A087WWF6,167640000,88309000,101450000,129900000,112110000,208110000,147460000,133060000
A0A0C4DGT3,62462000,NA,NA,NA,NA,NA,NA,NA
A0A087WWM0,51473000,45013000,37462000,37099000,44787000,36751000,30303000,31802000
A0A087WWM4,175030000,198880000,227430000,87677000,147270000,99293000,63911000,65768000
A0A087WWP4,163220000,180920000,191330000,253040000,295180000,277220000,121170000,142880000
A0A0C4DH79,NA,19081000,NA,NA,NA,NA,NA,NA
A0A087WWS1,396500000,285990000,322200000,214880000,301310000,318930000,186930000,197640000
A0A087WWU1,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WWW9,148670000,211060000,111300000,81195000,68636000,60957000,63037000,75896000
A0A087WX11,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WX41,NA,NA,9235400,NA,NA,NA,NA,72224000
A0A087WYF1,NA,NA,NA,NA,NA,16579000,NA,NA
A0A087WXC5,292580000,288490000,316280000,323910000,414310000,393280000,531150000,509310000
A0A087WXF7,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WXI5,NA,NA,274950000,NA,NA,NA,141070000,162060000
A0A087WXK8,NA,NA,NA,NA,13663000,NA,26272000,22199000
A0A087WXM6,4487000000,6358800000,5625900000,4669400000,5347400000,4349200000,4224500000,3817900000
A0A087WXN9,NA,NA,NA,NA,NA,NA,13495000,10087000
A0A087WXU3,NA,NA,NA,NA,NA,NA,NA,7158600
G3V526,NA,NA,32496000,31924000,32779000,42903000,23557000,19416000
A0A087WY03,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WY55,417710000,488530000,550830000,576760000,546520000,579500000,1036000000,931550000
A0A087WY71,928340000,938550000,856470000,1032500000,937740000,1185700000,702070000,821930000
D6RAH7,710830000,213450000,342150000,447560000,288810000,551310000,368540000,296330000
A0A087WYF7,86902000,96202000,69643000,40714000,49989000,NA,87293000,85502000
A0A087WYN9,278080000,274680000,257300000,324040000,322430000,324810000,191220000,195500000
A0A087WYP2,77392000,21915000,31089000,63798000,75351000,61103000,NA,42537000
A0A087WYQ4,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WYR0,252290000,331550000,354950000,280600000,364270000,274720000,311830000,381460000
H3BS73,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WYV6,83423000,58141000,92810000,NA,NA,NA,NA,17303000
A0A087WYV9,41183000,49473000,29626000,26424000,32655000,28519000,26305000,NA
A0A087WYY3,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WZ13,744150000,586230000,601450000,725950000,645230000,717040000,1495800000,1182000000
A0A087WZ32,NA,NA,32908000,NA,NA,NA,17394000,NA
A0A087WZ47,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WZ62,NA,NA,NA,NA,NA,NA,NA,NA
K7EL80,NA,NA,NA,NA,NA,NA,NA,NA
M0QZS0,84362000,80264000,39164000,34191000,43982000,57239000,11776000,29878000
D6RHI9,NA,NA,41548000,NA,NA,NA,67991000,75779000
A0A087WZN1,273880000,291060000,331000000,508250000,457820000,440520000,460960000,539480000
A0A087WZR3,92859000,95806000,71353000,65593000,58901000,106450000,73943000,99969000
A0A087WZT0,26201000,NA,NA,23889000,NA,25829000,40697000,33177000
A0A087WZU2,NA,NA,21361000,NA,21860000,33537000,NA,12059000
A0A087WZV0,118530000,103860000,129620000,223460000,220590000,246090000,44027000,82681000
A0A087WZX0,NA,13312000,29647000,25459000,48220000,52854000,21349000,22427000
J3KPF9,78091000,69484000,74032000,75128000,81554000,78458000,56839000,67416000
A0A087X043,NA,NA,NA,NA,NA,7858400,NA,NA
G3V2W9,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X0D5,NA,NA,NA,NA,NA,NA,78427000,73051000
A0A087X0H9,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X0K1,196630000,173160000,226260000,232750000,249370000,169540000,423610000,377810000
A0A087X0K9,350960000,345380000,329700000,380100000,376490000,330740000,573100000,610730000
A0A087X0M4,106420000,143890000,160420000,147010000,196150000,182680000,201140000,206690000
A0A087X0Q9,NA,NA,NA,NA,NA,NA,NA,4650800
A0A087X0R6,278570000,290500000,487660000,235090000,219220000,220000000,85856000,103810000
A0A087X0S5,515930000,422380000,402430000,NA,NA,NA,NA,NA
A0A087X0V5,712540000,231170000,624670000,8681400,39325000,21376000,17117000,15906000
A0A087X0W7,251240000,279420000,365580000,473800000,487970000,501860000,402400000,391570000
Q2TAM5,131620000,105110000,84639000,142960000,106270000,99581000,122040000,88924000
A0A087X111,NA,NA,NA,188940000,156580000,178840000,NA,NA
E7EWM3,NA,NA,NA,NA,NA,21185000,34949000,26973000
A0A087X142,95443000,97694000,90386000,104130000,114240000,123720000,240060000,173950000
S4R418,NA,NA,NA,NA,NA,NA,NA,5391500
A0A087X1A9,43059000,NA,36484000,19014000,NA,18706000,20726000,25662000
A0A087X1B1,52622000,80521000,55891000,37973000,63283000,54621000,51543000,76937000
A0A087X1B2,209610000,120220000,216210000,346880000,270170000,325920000,397400000,343080000
F5GZG9,17902000,NA,24278000,NA,NA,NA,NA,NA
H3BU88,NA,NA,25610000,NA,NA,NA,NA,NA
A0A087X1E4,NA,NA,15900000,26729000,24562000,45862000,43024000,36710000
A0A087X1G7,96186000,88255000,124070000,91381000,92403000,142690000,118110000,114730000
A0A087X1H5,48524000,53870000,74845000,65510000,49906000,56644000,52381000,49084000
A0A087X1I8,121960000,27701000,127870000,298890000,389670000,475010000,NA,NA
A0A087X1N6,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X1W2,171680000,110720000,114970000,NA,NA,NA,NA,372420000
A0A087X1Z3,1802100000,1791900000,2543500000,1435100000,1371100000,1173700000,2390600000,2800700000
A0A087X208,NA,NA,NA,NA,NA,NA,NA,NA
A0A087X211,92624000,77759000,49767000,55916000,69980000,45380000,63027000,73817000
A0A087X256,123470000,147810000,132170000,107930000,76640000,113360000,81698000,86195000
A0A087X259,NA,NA,NA,NA,12122000,NA,NA,NA
A0A087X279,25234000,63067000,115190000,NA,NA,46089000,NA,NA
E9PDU5,NA,NA,NA,NA,NA,NA,57498000,55153000
I3L1D4,NA,NA,3524900,8854500,NA,8372100,4933400,7113500
A0A087X2B2,43067000,NA,NA,38853000,27202000,47284000,NA,15204000
I3L192,577750000,501560000,361780000,503380000,319060000,494680000,409270000,357860000
A0A087X2D5,100080000,160190000,144040000,174830000,204350000,153410000,221910000,228710000
A0A087X2D8,NA,NA,NA,NA,NA,NA,NA,3330200
A0A087X2I1,1383000000,1300000000,1326300000,1402700000,1418700000,1409900000,1414200000,1358500000
A0A088AWL3,60974000,66833000,NA,52349000,42072000,18451000,NA,36830000
E7EP87,NA,NA,NA,NA,NA,NA,NA,NA
A0A096LP10,25042000,29424000,34481000,31634000,27663000,29660000,30015000,20431000
A0A096LP25,56114000,110170000,138030000,105080000,117600000,104220000,32692000,45323000
A0A140TA46,188900000,221540000,NA,NA,NA,NA,NA,NA
J3KP36,271630000,218100000,234060000,177340000,191820000,170200000,136700000,132910000
A0A096LPI6,597030000,579120000,787630000,589940000,691340000,727430000,1553600000,1321900000
A0A0A0MQR1,30112000,36504000,28128000,42761000,54504000,58978000,NA,18407000
A0A0A0MQR2,93887000,121610000,116520000,111780000,179920000,51377000,187630000,174430000
B5MD87,83975000,114710000,92022000,62982000,81614000,79983000,NA,16598000
F5H0Q6,NA,NA,NA,NA,NA,NA,NA,NA
