Samples,Non_tumor,Tumor,Group
1,4985,3951,A
2,4932,3980,A
3,4987,4002,A
4,5033,4022,A
5,5026,4075,A
6,4948,4045,A
7,5098,3950,A
8,5042,4007,A
9,5009,3973,A
10,4904,3919,A
11,5054,3962,A
12,4950,4047,A
13,5015,3949,A
14,5052,4057,A
15,5008,4016,A
16,4946,3984,A
17,5035,3978,A
18,4949,3959,A
19,5036,4029,A
20,4943,4017,A
21,5036,4021,A
22,5072,3944,A
23,4935,3951,A
24,4965,3873,A
25,4985,4023,A
26,5026,4029,A
27,4968,3937,A
28,4961,3884,A
29,5014,4029,A
30,4986,3967,A
31,4997,3995,B
32,4997,3950,B
33,5016,4028,B
34,4971,4031,B
35,4944,4019,B
36,4934,4033,B
37,5078,3976,B
38,5007,3964,B
39,4969,4023,B
40,4986,3936,B
41,5029,4029,B
42,4957,4001,B
43,5004,3890,B
44,5034,3983,B
45,5057,4051,B
46,5010,4039,B
47,4941,4063,B
48,5071,4000,B
49,5043,3946,B
50,4925,4124,B
