Genes,Value1,Value2
Ctsh,25.75727592,-4.50678917
Cebpa,22.74230776,-0.309425051
Anxa4,22.14905051,-0.707551445
Muc1,20.86538194,2.626111753
Npc2,20.36890658,-4.173956175
Cldn3,20.19954348,18.9058216
C1qa,19.95327409,-6.389818059
H2-DMb1,19.60328612,-0.890141169
Clcn5,19.07751025,0.806064272
Hap1,19.00956563,1.456796533
Lamc2,18.16955059,0.475328382
Vegfb,18.13202446,0.961983457
Tgoln1,17.93720927,-6.35285141
Unc119,17.82994411,1.627127712
Birc5,17.74414443,-0.527087907
Vamp2,17.67003424,-4.989643906
Rap1gap,17.60819977,3.469495303
D17Wsu104e,17.5543908,1.443233076
Mef2b,17.40807737,1.157143949
Pafah1b3,17.37476867,13.0666798
Cstb,17.32756133,0.97364313
Cask,17.27881851,6.09584005
Lamc1,17.21262818,-1.692332853
Taok3,16.81311004,-0.529256941
Myst1,16.68711334,-1.317491099
Psen1,16.57624003,0.746585909
Bhlhb2,16.56767961,-0.003169551
B3gat3,16.33851452,4.559953877
Gadd45a,16.12137402,1.552326287
Psmb9,16.06817585,0.068759542
Kcnk1,16.02157801,12.73884069
Slc4a4,15.99244961,-0.167941889
Grhpr,15.97012342,1.285934444
Psmd5,15.9090809,1.772845935
Map3k11,15.76433696,-2.475032706
Slc31a1,15.59032584,1.578849319
Polg,15.49999786,-2.804375669
Hmgcl,15.3149605,1.265287755
Tcf2,15.27165528,-1.033637697
Hmgb3,15.21845122,3.071889416
Ctnnd2,15.02421634,0.006120648
B4galnt1,14.6759685,-0.818571806
Prcc,14.64601615,1.519061938
Rdh11,14.48322686,-0.343798886
Atp6v0d1,14.35410736,-1.891385297
Atp1a1,14.34062579,0.473908892
Exosc7,14.27475539,1.60956728
Ahr,14.19130039,6.811274637
2900009I07Rik,14.10357303,-5.299695536
Epha2,14.10213501,0.107831775
Gne,14.01052537,-0.25132779
Ddx27,13.98741013,2.742001196
Galnt3,13.94062118,7.368953139
Ctps,13.86444375,2.849880539
Mcfd2,13.84506953,0.948660971
Atox1,13.82413673,0.816636933
Wdr77,13.7238804,-0.386588048
Cyba,13.71413553,0.065528753
Crygd,13.68785674,1.679076367
Slc2a4,13.47736635,-1.121325369
6330416G13Rik,13.46967294,0.203052776
Cd44,13.46473586,-4.713240435
Nfil3,13.44383273,-2.174592254
Ostf1,13.35944722,-0.921486799
Atxn10,13.2107472,1.110538028
Fbl,13.13565305,3.496769672
Celsr1,13.11917749,2.854168838
St7,13.05315688,-4.421957652
Nek4,12.99852104,3.111753393
Prss8,12.97329583,7.16486767
Vasp,12.87882834,-1.741735624
Mod1,12.87439837,3.088004684
Pon2,12.86153379,3.11990743
Polr2h,12.77854866,8.747183771
Relb,12.76280521,-0.202235796
D7Wsu128e,12.7235117,5.454740773
Usp52,12.69081324,-0.206416189
H2-Aa,12.69008768,-3.718654563
Ptgs1,12.54877097,-1.825547567
Tnnt1,12.50205463,0.836028366
Lbp,12.41629387,2.011419373
Lcn2,12.38120399,6.533372438
Slc25a1,12.349772,1.322150512
Kdelr1,12.26349782,2.332166089
Csf2rb1,12.02352572,-6.520725144
St3gal4,11.99184588,0.764587965
Ggcx,11.94646906,4.940372011
Gcgr,11.94337816,-1.205766046
Pld3,11.94268477,0.115123852
Litaf,11.87730804,-4.262691272
Entpd1,11.83576029,-1.010565992
Slc15a2,11.83561564,-3.641266184
Ppp2r5c,11.80281106,2.903912231
Pabpn1,11.77968943,2.049928233
Hspa9,11.76929635,4.764014369
Elf5,11.72494854,-1.683534948
Zdhhc3,11.6554744,-3.731803104
Pparg,11.63792013,-3.33065266
Hif1a,11.53414881,0.680878272
Siva1,11.48578439,0.785723637
Ly6e,11.25089119,2.344601388
Pla2g1b,11.2001147,-4.253838891
Trp53,11.17013265,1.216470037
Ctss,11.15994846,-0.875212327
Cox6c,11.12661334,2.360632657
Fnta,11.09377676,-0.913253344
Bcl2a1d,11.08395934,-2.503307117
F7,11.07048221,3.540166256
Rpp14,11.02529322,-0.153286348
Nup88,10.99756657,2.622932964
Pdia6,10.98735915,4.652558167
Chrnb1,10.97267148,-1.155585439
Nucb2,10.93953471,2.91357893
Glrx,10.91657434,-2.703142959
Inhbb,10.841114,3.632829694
Taf15,10.82246478,0.02421711
Il11,10.80842958,0.17448289
Gjb1,10.73647874,0.443589856
Actn4,10.73577315,-2.453827226
Axin1,10.70761262,0.127723908
Ifi30,10.68838278,-4.772788679
Sat1,10.66094546,-1.269373956
Elac2,10.59095373,-0.575215159
Ube2m,10.58717746,0.15036348
Inpp5b,10.53445682,-1.391967498
Ephb4,10.49658948,0.172037399
Chd4,10.46708856,1.782995155
Hmgn1,10.44783738,9.097473243
Plxnb2,10.3818787,0.070698061
1110008P14Rik,10.37929645,1.541393532
Sfrs16,10.27726974,1.215013228
Eif3s6,10.22720502,2.361868856
Znhit3,10.22014253,3.456567425
Krr1,10.19588994,2.657844197
Fmod,10.18961069,-2.571462152
Pcbd1,10.14735081,5.441951426
Gse1,10.01815114,-0.179370528
Tank,10.00122077,-0.397153407
Ctsc,9.99379635,-1.355080026
A030007L17Rik,9.980390837,10.46230372
Eef1d,9.969773991,2.765366712
Hddc2,9.956188822,-1.404901497
Pitx3,9.952290114,-0.081230882
Tnfaip1,9.911592612,-3.358332872
Il13ra2,9.889033079,0.353226606
Kras,9.877305331,2.022743699
Cdk2ap2,9.845280061,4.596517859
Sh3bp2,9.823505761,-1.653094624
Phlda1,9.786219615,0.05342113
Hax1,9.772248135,4.553358357
Lamb3,9.769995679,-1.494294573
Ctsz,9.749538691,0.396039403
Cd68,9.749455112,-4.185245853
Hsp110,9.732564954,-0.298404145
Rxrb,9.72205455,0.461676226
Samm50,9.720811735,0.284169559
Fbxo21,9.707656211,-0.852650149
Zfp143,9.649977346,2.429520373
Stxbp2,9.62427397,-3.062775699
Arg2,9.61428099,0.146509339
Pou2af1,9.580822858,3.943163724
Aldoa,9.558403488,8.165186145
Dap,9.539186046,8.639549795
Fabp1,9.524240668,2.403149678
Actr1b,9.522487011,-0.307477976
Fmr1,9.521056743,2.93343949
Pkm2,9.5182135,3.18659983
Phlda2,9.43273637,9.734570296
Abcf1,9.420084644,1.46527781
Tax1bp3,9.40771048,0.129742169
Ros1,9.407498584,-0.32475837
Ccdc86,9.375068269,-0.253278108
Gys1,9.350579354,-0.246972631
Cops7a,9.328774166,0.192320478
Ceacam1,9.242619559,10.65785785
Id2,9.229143729,-3.784423026
Crlf1,9.221150459,4.357383979
BC017133,9.196496647,1.427613321
Lgals3,9.139406563,-2.051352889
Phb2,9.128566734,2.468922468
D15Wsu75e,9.105734024,3.769942163
Gpi1,9.059636172,5.618617163
Ch25h,9.034457936,-0.557626674
Itpk1,9.007382278,-1.839710975
Btg3,8.968773692,0.419405751
Erbb3,8.945945467,12.94410333
Etfb,8.94318201,0.126321885
Foxa2,8.911140407,-1.273213574
Pik4ca,8.910996722,-0.215110021
Slc16a1,8.839643931,1.65610137
Osbpl1a,8.827884615,0.718775943
Rnf4,8.807388476,0.97851711
Dnajb5,8.807158836,-2.278802144
Ly6d,8.805441316,1.687062587
Slc4a7,8.783369818,-0.022563785
Il11ra1,8.728671125,-2.030975577
Ssr4,8.726693283,9.408561911
Gnb2l1,8.665448217,3.9796344
Nnt,8.658457096,4.273841719
Nucb1,8.655131538,-2.362518362
Sephs2,8.611793411,5.709056094
Cited2,8.602697431,-3.059786577
Gipc1,8.599205191,-0.152802931
Ggtla1,8.525538127,1.05427413
Serpine2,8.515447627,3.353005549
Ptdss1,8.51385572,-0.104275118
Psme1,8.513259166,-0.031160191
Ap3s1,8.472470641,1.228858484
Mpdu1,8.46208577,-0.547076195
Cutl1,8.440755605,-0.507148
Fcgr1,8.391226879,-1.637504803
Mrpl12,8.380530219,4.594564371
Gars,8.375607413,4.66642924
Arl1,8.349890673,5.16435005
Reep5,8.341851544,-3.931800638
Klf5,8.313907067,6.116250155
Rnh1,8.303623984,-1.408402416
Lipa,8.273321697,-0.751191058
Hcls1,8.258812324,-4.404282164
Frat2,8.238954662,0.274347991
S100a1,8.221880044,0.921662488
Coq7,8.21328983,0.415777549
Ap3b1,8.203330185,1.31595446
Ctse,8.176044404,0.241138029
Mrpl28,8.157127548,2.774459487
Cyb5r3,8.147847118,-5.404907312
Erp29,8.125015053,0.689733069
Nola2,8.121258582,6.111548646
Cyb5r1,8.105868197,0.785651529
Tgfbi,8.098080755,0.477907817
Mapre2,8.087522736,-5.260530027
Itga8,8.079649168,-3.723329303
Chl1,8.045379711,3.872765998
Cryz,7.947493716,2.791129941
Cope,7.939322035,0.881075661
Lgals3bp,7.888557824,9.856661051
Etf1,7.807998672,-1.901470633
Frg1,7.801016321,0.481610658
Nrp2,7.76014397,1.305767212
Psmd8,7.756804519,4.076693186
Hsd17b10,7.752748526,1.946887177
Dvl3,7.749292158,0.486615813
Zfp787,7.746768546,1.588277779
Naglu,7.732950102,0.901074411
Svil,7.710609702,-2.981319347
Entpd2,7.654938565,2.076081099
Dusp6,7.641370072,-1.664554109
Itgb2,7.630871874,-2.907213299
Actl6a,7.630852309,12.54442894
Las1l,7.612963934,-1.242708421
Sfrs6,7.61154919,-1.915237453
Iqgap1,7.606929305,-3.536051287
Il18,7.574104812,-0.599798602
Apoc1,7.560768371,-1.631540399
Lasp1,7.541591015,0.636263025
Prdx3,7.535597679,6.758506082
Hhex,7.524403162,-3.602935545
Cbx4,7.508815019,3.368786853
Gcs1,7.492678124,10.14908966
Idi1,7.489881278,-5.162370798
Ddx10,7.473091046,1.573433174
Itga4,7.45850741,-0.915806987
Gcdh,7.450681346,2.729355403
Sfpq,7.438630716,2.969675445
Tkt,7.430307836,5.298587743
Mmp2,7.429954034,0.088358526
Gusb,7.4268982,0.977215793
Arfgef1,7.408898356,6.360459668
Mmp15,7.404622854,3.001289505
St13,7.403727053,-0.165544955
Vil2,7.35063613,-1.929510724
Serpine1,7.342490324,-1.947031993
Snd1,7.335260106,1.044203777
Ilf3,7.30525962,4.364150858
Rrp9,7.279208787,-0.438012257
Atp6v1a,7.265213292,0.258124907
0610031J06Rik,7.264044608,10.96987048
Zfp282,7.248484344,0.312337339
Atp6v0b,7.229934918,-0.234986782
Tapbp,7.15045124,-2.475685018
Atp6v1f,7.145257424,-0.382910684
Rpo1-1,7.136920612,6.334099804
Ehd1,7.122595361,-4.850092148
Acadl,7.1069836,-3.037505614
Cpox,7.0981095,1.548622823
Tacstd2,7.091672799,2.637840178
Pabpc1,7.08282029,6.619267701
Cdk8,7.068819824,5.370795916
Adcy7,7.028901262,-0.63604588
Hrsp12,7.027487206,7.002276734
Gnai3,7.026586859,-0.668991781
Pfkl,7.001001945,1.139433626
Polr2e,6.990973472,-0.558977218
Capn1,6.957857957,5.651505934
Tspo,6.88417966,-2.661150793
Arpc1a,6.87443448,3.738743998
Edem1,6.871540198,-2.664385523
4930573I19Rik,6.865948066,-0.934912049
Pdc,6.860968681,-0.26133504
Csrp2,6.832812252,-1.487168678
Atp6v1g1,6.830101337,-1.072775624
Prdx1,6.81632141,2.329877689
Epha7,6.778171209,-0.98132962
Dhx9,6.771650643,3.759755979
Glb1,6.765072426,0.027658913
Hsp90b1,6.757656429,4.436341467
Tmed9,6.743643227,1.932050159
Thbs1,6.733541713,-0.902959786
Pon3,6.696513866,3.819381149
Tram1,6.694434985,0.651484423
Aprt,6.680697145,4.676804907
Vamp8,6.648580624,-0.879807539
Nipsnap1,6.642606455,9.383908593
Plod3,6.635974955,1.514874183
Snx2,6.628596011,-2.892678805
Gns,6.625155007,1.140547045
Ndufs3,6.602909042,1.434135516
Ccr5,6.59892373,7.473166006
Fbp2,6.588371613,-0.781438924
Asna1,6.562838869,-0.615276745
Hdc,6.534955236,-3.214132461
Abr,6.530928808,-0.943878528
Tbxas1,6.528006645,-3.644833752
Prdx4,6.510107866,11.25768404
Hoxd10,6.503369642,0.277204597
Ctsk,6.471058287,6.872958671
Sfn,6.425402379,1.637728758
Tmed2,6.418474831,8.666813969
Chmp7,6.401889592,1.91899448
Tpm4,6.393508216,-0.811889606
Man1a,6.390385063,0.139831634
Hal,6.379589543,0.015664204
Cyb5b,6.367366767,2.687167935
Tufm,6.334563688,6.48059056
Hdac6,6.334072461,-0.803879482
Galnt2,6.330447676,1.017950892
Mrpl40,6.308727436,3.674504793
Dscr2,6.302076335,3.288337603
Mcm2,6.2970727,3.728814454
Pla2g5,6.293627642,-6.888984849
Eif2s1,6.276985519,5.717209301
Armet,6.249300967,2.603688384
Rrbp1,6.247573395,3.743033374
Atp6ap1,6.243257157,-1.251131735
Faah,6.242933583,1.924805017
Myc,6.235651206,0.319088801
Stk39,6.2335711,13.5496174
Etv1,6.207059054,-3.279275749
Cks2,6.198239106,1.956556548
