Names,Intensity
A0A024RBG1,34591000
P0DPI2,82351166.67
A0A1B0GTU1,9753000
A0AVT1,61840500
A0FGR8,51980500
A0MZ66,55365000
A1L0T0,29680800
A3KMH1,2850700
A4D1E9,2560700
A5YKK6,16421833.33
A6NCE7,14769000
A6NDG6,41119833.33
A6NHL2,8240200
A6NHR9,9243350
A6NJ78,14201000
A6NKT7,4728200
A8CG34,2395900
P62308,99865000
A8MXV4,6942500
B1ANS9,38881666.67
E9PAV3,285206666.7
E9PRG8,38794833.33
I3L3R5,30955000
O00116,169900000
O00148,89364000
O00151,56943500
O00154,168618333.3
O00159,60829666.67
O00161,5890316.667
O00170,23852833.33
O00193,20227000
O00203,80820833.33
O00217,20901000
O00231,330788333.3
O00232,220175000
O00233,12260316.67
O00244,4905300
O00264,58703500
O00267,37562500
O00273,64957833.33
O00299,961085000
O00303,242250000
O00330,13838500
O00399,2951400
O00410,1069401667
O00411,7495900
O00422,22927500
O00425,60590000
O00429,152651666.7
O00442,15811333.33
O00483,26558000
O00487,122036666.7
O00505,58394333.33
O00515,62239666.67
O00541,46230666.67
O00567,33471500
O00571,464415000
O00592,9312275
O00625,11525000
O00629,47285000
O00743,15271333.33
O00762,25268000
O00764,41599000
O00767,22324000
O14493,9719575
O14497,36035333.33
O14545,1216100
O14548,12828400
O14561,13092775
O14562,27213000
O14579,58125000
O14617,67334833.33
Q92997,816020
O14672,8055250
O14684,3468400
O14735,7693300
O14737,61197500
O14744,146120000
O14745,71143666.67
O14773,25250333.33
O14776,36940166.67
O14787,9920150
O14818,452120000
O14828,26784000
O14880,19491900
O14893,3071800
O14907,17457000
O14908,19389666.67
O14925,13058000
O14929,71098000
O14944,3118900
O14949,26487166.67
P19105,256660000
O14964,22426833.33
O14974,32100500
O14975,5023900
O14979,39149500
O14980,436496666.7
O15013,1418900
O15031,3973050
O15042,67216000
O15067,52248666.67
O15116,14609333.33
O15126,27386500
O15127,18556500
O15143,57852666.67
O15144,43415666.67
O15145,64023833.33
O15155,14897000
O15160,67343000
O15173,23885333.33
O15212,58483500
O15228,4558500
O15231,2348200
O15235,16965666.67
O15243,1322000
O15258,19661833.33
O15260,89390166.67
O15269,17196000
O15270,18693750
O15294,9856200
O15305,24126833.33
O15347,28175166.67
O15355,152413333.3
O15371,289140000
O15372,146880000
O15382,5896375
O15400,32347000
O15427,154638333.3
O15446,11742540
O15460,4688200
O15479,164646666.7
O15498,26329166.67
O15511,14300750
O15533,4047350
O43143,338876666.7
O43148,25084000
O43156,3169200
O43169,378445000
O43172,38995000
O43175,397520000
O43237,24401666.67
O43242,239680000
O43251,4645500
O43252,54506333.33
O43264,19699200
O43278,5730250
O43290,59639666.67
O43291,7122800
O43301,2836900
O43324,57116000
O43347,2740400
O43390,140688333.3
O43395,16581166.67
O43396,198666666.7
O43399,210806666.7
O43402,4314300
O43432,16176000
O43447,44384833.33
O43464,13372200
O43488,40771333.33
O43491,111125333.3
O43493,3828600
O43583,40118333.33
O43592,16090500
O43598,23720000
O43615,112691666.7
O43617,10698125
O43657,5144600
O43660,34369500
O43665,27370166.67
O43670,50832000
O43676,10808000
O43678,22647666.67
O43681,90975166.67
O43684,113533500
O43688,5229800
O43707,1242510000
O43709,16964333.33
O43719,26448166.67
O43747,82934333.33
O43760,31365166.67
O43765,70029833.33
O43768,1060600
O43776,339186666.7
O43795,9239800
O43809,97375833.33
O43813,22807250
O43818,19818500
O43819,14313000
O43823,11546500
O43837,106553833.3
O43852,119856666.7
O43865,13293750
O43896,2874000
O43920,39602000
O60231,12340220
O60232,34988333.33
O60244,9764300
O60256,14815200
O60264,34377600
O60271,27581166.67
O60306,22728000
O60313,26883833.33
O60341,13371833.33
O60437,13574666.67
O60488,13918100
O60493,37390500
O60502,33999166.67
O60506,887485000
O60524,5240500
O60563,14044600
