X1,X2,X3,Size,Groups
77.28,61.31,15.22,4.92,T
31.52,55.19,15.16,3.29,T
59.01,96.43,13.96,5.03,T
55.91,52.97,16.12,3.97,T
97.53,36.04,10.87,4.57,T
49.6,67.54,17.22,4.41,T
45.32,71.12,22.21,3.65,T
35.96,25.48,11.51,1.67,T
35.57,94.63,19.88,3.79,T
26.32,24.02,11.38,1.35,S
34.76,135.49,20.01,4.81,T
37.34,47.33,16.04,3.28,T
32.21,87.1,16.83,4.09,T
22.8,23.76,12.47,1.44,S
33.82,66.06,17.15,3.44,T
14,20.5,10.31,1.06,S
14.12,18.44,8.77,1.19,S
19.97,25.48,13.39,1.08,S
15.63,18.95,9.38,1.23,S
16.02,19.62,9.49,1.32,S
15.83,18.06,9.12,1.3,S
19.07,23.34,10.47,1.28,S
16.35,21.21,10.76,1.25,S
22.31,26.73,14.55,1.46,S
15.44,19.88,10.18,1.17,S
15.77,18.86,9.73,1.43,S
14.99,17.94,10.11,1,S
15.22,18.27,9.69,1.07,S
16.57,18.41,9.98,1.13,S
16.28,21.2,11.87,0.85,S
17.64,18.81,9.9,1.13,S
23.6,22.87,10.16,1.49,S
19.62,17.63,8.6,1.32,S
20.35,19.05,8.83,1.22,S
30.29,27.33,9.32,1.99,S
18.67,22.71,13.07,1.22,S
27.75,19.88,9.05,1.55,S
24.28,15.48,8.96,1.27,S
29.92,14.57,8.31,1.47,S
39.96,28.62,9.48,2.49,T
16.88,21.72,12.29,0.89,S
67.1,47.97,11.52,4.57,T
51.7,46.01,13.83,3.94,T
34.86,60.36,16.56,3.29,T
108.3,38.69,10.15,5.33,T
17.43,21.88,12.52,1.28,S
31.48,63.31,15.74,3.47,T
27.76,91.08,14.9,4.33,T
25.41,19.16,8,1.36,S
18.83,18.81,8.65,1.28,S
17.2,21.73,12.42,0.94,S
22.97,17.59,7.54,1.33,S
15.95,11.77,5.37,0.96,S
15.08,19.2,10.62,1.09,S
15.66,12.38,5.59,0.86,S
17.82,17.48,6.37,1.23,S
17.14,22.78,11.75,1.07,S
39.68,17.42,5.98,2.01,S
37.33,20.79,8.23,1.87,S
28.34,123.92,16.37,5.06,T
15.64,15.67,8.12,0.94,S
16.53,17.58,9.02,0.94,S
79.78,59.19,14.09,5.24,T
15.8,17.57,9.64,0.9,S
15.29,18.17,9.9,0.96,S
63.78,70.64,15.65,4.65,T
18.43,22.95,11.29,1.09,S
17.88,20.63,10.07,1.13,S
27.49,123.01,18.3,5.21,T
19.57,22.31,11.09,1.25,S
17.83,20.4,9.88,1.15,S
26.6,147.04,16.34,6.04,T
14.79,18.08,9.27,1.12,S
12.45,16.37,9.12,1.05,S
26.3,164.01,15.55,6.37,T
15.19,18.99,10.21,1.11,S
16.28,21.15,9.8,1.27,S
56.42,75.82,16.92,4.98,T
101.08,67.78,9.69,6.18,T
19.59,21.25,11.07,1.24,S
17.85,21.15,11.27,1.22,S
25.05,12.29,12.06,0.72,S
61.3,27.62,7.82,3.23,S
26.74,14.47,10.72,0.77,S
24.15,16.85,12.04,0.78,S
40.61,33.09,8.8,2.46,S
22.34,14.08,11.44,0.74,S
22.34,15.53,10.95,0.85,S
26.39,27.33,9.28,1.79,S
20.65,16.35,11.29,0.81,S
24.05,23.86,12.57,1.23,S
26.52,29.14,9.84,1.67,S
21.03,20.34,10.3,1.13,S
23.13,25.3,10.77,1.5,S
18.87,24.21,9.88,1.29,S
19.43,22.25,9.77,1.42,S
15.86,15.65,9.22,0.93,S
16.75,20.16,8.5,1.01,S
20.78,20.7,10.98,1.23,S
24.81,21.49,11.5,1.39,S
14.49,25.94,8.45,1.14,S
23.59,19.84,10.16,1.36,S
28.73,26.17,11.54,1.68,S
14.88,28.93,11.1,2.36,S
28.86,22.34,10.02,1.68,T
40.97,31.21,10.82,2.54,T
83.62,58.68,10.84,4.92,T
68.98,68.66,14.07,4.9,T
20.82,147.01,15.58,5.41,T
53.27,48.84,16.3,3.76,T
77.16,74.85,11.69,5.37,T
30.6,58.84,17.81,3.18,T
34.32,85.11,17.66,4.16,T
39.3,152.56,12.7,6.52,T
28.23,94.58,18.27,4.15,T
19.74,131.39,17.56,5.35,T
21.61,147.85,18.54,5.74,T
32.24,146.78,14.67,5.8,T
33.78,99.59,23.76,4.17,T
9.13,7.62,10.82,0.44,S
8.29,7.85,9.48,0.46,S
24.65,159.21,13.35,6.29,T
10.26,8.98,8.37,0.49,S
10.7,8.73,8.24,0.53,S
8.6,7.04,7.11,0.61,S
14.68,21.81,10.84,1.04,S
36.88,115.41,15.72,5.61,S
19.96,120.78,16.21,5.03,T
13.79,20.44,10.68,2.24,S
15.83,79.17,14.77,2.96,T
9.25,12.09,10.94,0.7,S
33.18,87,22.04,3.81,U
9.93,11.83,10.18,0.79,S
64.57,49.03,16.88,4.58,T
25.88,152.24,16.83,5.93,U
30.21,85.24,25.41,3.61,T
17.83,11.96,12.43,0.61,S
45.67,79.94,17.17,4.81,S
13.79,4.66,8.33,0.42,S
22.11,69.16,10.07,2.66,S
22.92,70.86,9.68,2.79,S
34.64,113.35,13.51,4.39,T
36.33,121.24,13.02,4.47,T
27.58,121.48,11.08,4.53,S
58.79,58.36,14.66,4.25,U
32.83,97.9,15.9,3.72,S
20.41,208.71,8.64,7.57,U
20.86,184.7,11.77,6.66,U
40.3,93.94,15.38,4.45,U
