Uniprot,log2FC
F6RDH3,1.000412585
D3YZN2,0.920984904
F8WIS9,0.914355868
Q6NVF7,0.745253404
D3Z3L7,0.710378878
E9Q8K5,0.648142026
G3UXY2,0.647535787
F6WM75,0.574155376
A2ABU4,0.523552622
D3Z3A9,0.516819567
D3Z020,0.514478151
E9PZ67,0.506860891
E9Q9K5,0.475537725
A2AR02,0.473001827
F6T356,0.470605334
E9Q3G8,0.457587689
A2A6I8,0.452968368
E9PZQ0,0.450443674
A2BGN7,0.446323926
F6Z2J7,0.435355372
A2AQB2,0.414699784
D3YU38,0.412191243
E9Q1W3,0.397387093
E9PYJ8,0.378888651
G3UW82,0.364973746
E9PVX6,0.355694396
F6RCZ2,0.334773426
Q9DC42,0.3338337
D3YWC2,0.33133489
E9Q452,0.331141463
D3YWG7,0.32274094
E9QA85,0.315629995
E9PZ54,0.308838513
B1AR69,0.304757583
E9QQ96,0.298143205
E9PWK4,0.279606854
B2RQG2,0.278800117
G3X8U8,0.27862176
M0QW74,0.273289071
A2A7T3,0.272838288
E9Q8K8,0.272777166
E9QL08,0.271835998
B1AU76,0.271729182
F6YPG3,0.270110853
D3YZ99,0.268841981
B8JJN2,0.262586663
D3YUE2,0.256390985
A2ASS6,0.253473044
F6WZH1,0.247903831
E9Q1D5,0.244099045
B7ZCJ0,0.237208562
D3Z5I1,0.230362121
E9Q6B8,0.224712467
B7ZC54,0.223490511
A2AGS2,0.221584074
E9QNE5,0.220856029
E9QLH9,0.213494855
D3YTU2,0.21238055
Q3UH28,0.211714124
E9Q3E2,0.209984799
E9Q415,0.204295864
D3YXM1,0.200145716
E9PZ58,0.188093041
A2ANP2,0.187351515
G3UXG8,0.186777684
F8WJA0,0.186272978
A2AER8,0.182419043
D6RHA2,0.179552143
F6WMJ3,0.175952037
G3UXN0,0.17583229
D3Z1R6,0.172971204
A2AQZ5,0.172855501
A2AJT3,0.172149527
E9QAQ7,0.163688925
D3Z6D5,0.160979312
D3Z5N5,0.15380654
E9Q2I4,0.151484008
E0CZ61,0.151330984
G3X9A3,0.150315659
E0CYH0,0.146873098
F8WID5,0.146132968
E9Q4G8,0.139487856
B1AWD6,0.137905056
B2RUP0,0.136669909
F8VPM0,0.135562019
D3Z664,0.135043787
E9Q0A3,0.133570086
E9PWG4,0.132373913
B1ARU1,0.131465722
B7ZNH7,0.130890651
E9Q1L5,0.129340786
D6RG59,0.127957396
D3YW87,0.127019224
E9Q6J5,0.123808234
F6R4N2,0.121113353
E9PUD0,0.119100665
E9PX59,0.118737766
G3XA35,0.118347955
E9Q0Y4,0.113954659
D3Z4C7,0.112502866
G3UWD4,0.111553098
E9PX53,0.11059884
E9Q7M2,0.106414578
F6UIS1,0.106057338
F6YY19,0.105587926
E9PVP1,0.105585653
F6ZL86,0.100543385
D3Z0B8,0.099289638
A2A8V9,0.09473311
G8JL35,0.094719556
A2A9C6,0.094089527
Q8VC91,0.087894737
E9Q0V6,0.087512791
E9PWW9,0.087240933
B9EKS2,0.085884996
D3Z1X8,0.085172072
E9Q0D4,0.084210511
A6H5Y3,0.081829402
D3YY41,0.081448399
E9Q1P8,0.079073898
D3Z553,0.078983389
A2AU90,0.078219613
E9Q6P1,0.077258791
A2AUC9,0.077146738
D3Z125,0.076992361
E9Q638,0.075475046
B7ZCN0,0.074399559
F7AN16,0.071955076
H3BJ38,0.070063677
A2AQ19,0.068612637
Q9QXJ2,0.066581911
D3Z285,0.065828537
H3BLI9,0.063289864
A2ALA0,0.063089706
E9PYJ9,0.061901869
E9Q784,0.059258518
D3YY34,0.059055034
Q6P6I8,0.05868453
G3UXR7,0.058463135
F6ZZ61,0.05519932
B9EKI3,0.052600228
G3UZA0,0.049372274
A2AUF7,0.048062172
A2ASY0,0.047443338
F6WIU1,0.046603735
B8ZXI1,0.045967994
A2AKA9,0.045872414
F7BP94,0.043720208
A2A864,0.042942215
G3X8R2,0.041028439
E9PUF4,0.040731944
E0CYD6,0.038401914
F8WIU9,0.038162347
A2AMY5,0.037400186
F8WHJ1,0.036909302
B1AYL1,0.035673905
E9QKG6,0.035658706
F6QK97,0.035211377
H3BIV5,0.033885179
D3Z2W0,0.033299695
F6RT34,0.031593153
B2RXW8,0.029110462
H3BJD4,0.029050128
E9PW15,0.028643796
E9PZM7,0.025579383
A2AMZ4,0.025290492
G3X9E8,0.025285937
G3X9H7,0.025050054
E9Q6A7,0.023490956
D3YVL0,0.023350783
D3YYT0,0.023315273
D3YTR7,0.023020455
F6YFN0,0.02247559
F8VPU2,0.022453913
A2AG68,0.021719256
A2AGL5,0.020099745
E9Q6G4,0.019598377
E9QMB7,0.019418202
D3YYT1,0.019402627
D3Z7P7,0.019127491
D3Z6Q7,0.018082494
A2AIL4,0.016051592
D3YU80,0.014125131
E9Q7G6,0.012372653
D3YWF5,0.003614631
E9PYJ2,-0.002217326
E9PW20,-0.003664808
F8WIP7,-0.003746043
D3YWX2,-0.003802372
F8VQE9,-0.005311781
B0V2P5,-0.009113474
A2AHR2,-0.010355277
A2AJP9,-0.013200239
E9QAB8,-0.013362022
E9PVP0,-0.013614502
A2A791-2,-0.013782773
E9Q5Q0,-0.015008288
D3Z4E6,-0.015019348
A2ARF0,-0.015429186
E9QJU4,-0.015479083
S4R2D2,-0.016926325
E9Q983,-0.017814251
G3UXH4,-0.018271631
Q32ME1,-0.01889213
D6RH72,-0.022861301
D3Z2Y6,-0.023541423
E9Q3C1,-0.024234668
F7AVU1,-0.025039076
D3Z3F7,-0.0268996
E9Q394,-0.02698583
D3YYF2,-0.027352695
E9Q0M7,-0.027471802
E9Q4N6,-0.028198882
Q8CEC2,-0.029524499
D3YZC7,-0.030115392
D3Z1F9,-0.030588011
E9Q7P0,-0.031323366
A6H5Z3-2,-0.031530949
E9Q0W6,-0.033261436
B2KGA7,-0.033837184
D3Z6S1,-0.034196569
F8VQ93,-0.035065426
E9PZG4,-0.037001208
B1AQR8,-0.039043129
D3Z1F7,-0.04076001
D3Z220,-0.042700919
F8VQ54,-0.043034294
Q8CCK9,-0.043498598
D3YUN3,-0.044417035
D3Z4D1,-0.046017619
H7BWX9,-0.046900287
A2AVP3,-0.048737801
F7BTZ2,-0.049597843
D3YUH9,-0.049624822
E9Q1M6,-0.051825594
D3YXZ3,-0.051956845
A2AMS3,-0.053576423
G3UX48,-0.054977958
F8WGN6,-0.055781241
D6RD11,-0.056298259
E9Q4Y0,-0.056395415
D3Z3L3,-0.056468554
Q8BWN9,-0.057052341
Q8CFZ0,-0.058079536
G3UYM8,-0.059248045
A9JSM3,-0.059446792
D3YW09,-0.059931092
E9QNU1,-0.060155543
F8WIG4,-0.06017044
E9QMN5,-0.061756944
A2ADE0,-0.065496398
B7ZP47,-0.065709631
E9Q1M1,-0.066077734
E9Q481,-0.066611602
A2AT37,-0.067463046
A2BE28-2,-0.067559151
E9Q4V9,-0.068359756
E9QML5,-0.069216919
D6RCG5,-0.070379948
A2RSX7,-0.070695586
G3X8P6,-0.072081552
D3YX85,-0.072592569
E9PUA2,-0.075808899
B1AZ15,-0.076230682
B9EJ80,-0.077105347
B1AR28,-0.077354341
H3BL23,-0.0778023
E9PUV1,-0.078527208
A2ATQ5,-0.079079765
E9Q150,-0.080380311
D3YVU1,-0.081467225
E9Q892,-0.082091331
D3YVV9,-0.083349273
E9PWV7,-0.085031453
E9Q8Z5,-0.085335619
D3Z4D8,-0.085565138
B1PSD9,-0.085900294
E9QAF9,-0.086084883
F6YRW4,-0.087401954
E0CXC7,-0.087869308
D6RII3,-0.088763204
F6R6F1,-0.089977208
D3YZP9,-0.090099944
F2Z405,-0.091960528
E9QMH7,-0.092171951
G3UX13,-0.092453113
B2RY04,-0.092714554
E9PVU9,-0.093445764
E9QJV4,-0.094238033
G3UWX1,-0.095032778
G3X9K8,-0.095163039
B2RXC2,-0.095603977
A2AEX8,-0.0956878
E9QPI5,-0.096104034
A2ATL1,-0.096242483
D6RI23,-0.097250141
F8VQL0,-0.097934009
E9Q6Z3,-0.099085528
A2A5Z6-2,-0.100413747
D3YUY3,-0.100519982
F6X0V1,-0.102319043
A2AQP0,-0.10263426
A2AI57,-0.103292553
B1AYU7,-0.104872574
D3Z069,-0.104923885
F6Z4B2,-0.106446015
F8WI30,-0.107034158
B1AU74,-0.107624934
A2AVR1,-0.108435428
F8WI22,-0.110150942
A2ADR8,-0.111878974
B2RUR8,-0.111966643
F8VPM7,-0.112335455
E9Q6B6,-0.112343439
E0CZ53,-0.115618552
E9Q0A7,-0.116088584
E9Q1U6,-0.116962132
A2API8,-0.119565349
B1AUD6,-0.11959475
A2BDX0,-0.11974889
D0QMC3,-0.120546405
Q5XK38,-0.120820405
E9Q2P6,-0.121171659
A6H6A9,-0.121350775
E9Q2W8,-0.123934285
E0CY63,-0.124041748
A2CG76,-0.124446642
E9PY42,-0.12499755
E0CZ78,-0.128006701
F8VQ75,-0.129394464
F8VPR5,-0.131369509
Q99LA2,-0.133526543
D6RET6,-0.135468258
A2A5K2,-0.136065239
