protein,0min,5min,15min,30min,60min,120min
IPI00222681.3_AW146020_169,0.053655481,-0.033109728,1.25815738,0.121316261,0.39960843,-1.799627825
IPI00116907.8_Sh3bp5l_30,-1.894033482,-0.003251067,0.27566887,1.073011677,0.406203555,0.142400447
IPI00678133.3_Inf2_1192,1.607667669,0.526200483,-0.878177126,-0.74689935,-0.837503688,0.328712012
IPI00753321.2_Bod1l_2920,1.988269819,-0.32844769,-0.557237122,-0.586306877,-0.533243339,0.016965209
IPI00469997.4_Usp20_134,1.195142067,0.359927466,-0.70021923,-0.373718999,-1.401679585,0.920548281
IPI00453808.4_Ddx55_544,0.443117518,0.953992604,-0.682558001,0.831648674,-1.650782454,0.10458166
IPI00229859.1_Eif3b_153,-0.414850276,1.953550049,-0.637486958,-0.668598674,-0.372308024,0.139693884
IPI00453982.4_Rcor3_227,0.966094199,-0.544174123,-1.197210626,-0.713591343,0.144596803,1.344285089
IPI00465812.2_Epb4.1l1_441,-1.018627038,1.102903699,-1.211046509,-0.356661497,0.902770077,0.580661267
IPI00308559.1_Snip1_381,0.872763922,-0.41692979,-0.546782446,-0.886178085,1.6072191,-0.6300927
IPI00130095.1_G3bp1_231,0.228845692,-0.236291651,1.777448732,-0.199339406,-0.306142782,-1.264520585
IPI00138089.4_Lrrc47_519,0.068973433,1.611040781,0.475319849,-1.255863587,-0.75969039,-0.139780086
IPI00323349.2_Tjp2_239,-0.947752925,-0.265781827,0.774708995,1.260386967,0.456656329,-1.278217539
IPI00652958.1_Tbc1d5_600,-1.825189515,0.062725442,0.219143267,0.665841211,1.06659139,-0.189111795
IPI00119575.3_Prkar1a_206,-0.837211181,0.642769419,1.274249837,0.752303372,-1.010754524,-0.821356923
IPI00753321.2_Bod1l_862,-1.836417246,-0.495070315,0.584376407,0.633372286,0.655899007,0.45783986
IPI00115701.1_Usp4_675,1.149751058,1.020372383,0.276045598,-0.367863705,-0.674658981,-1.403646354
IPI00109203.3_Cd2bp2_46,0.549208797,0.14916929,0.015045294,1.345701205,-0.419241437,-1.639883149
IPI00785240.1_Srrm2_2642,1.137567422,0.441313569,-0.812465689,0.859834088,-0.184863603,-1.441385787
IPI00127415.1_Npm1_106,0.283989314,0.880732632,1.348044517,-0.476099829,-0.90484424,-1.131822395
IPI00377298.2_Tra2a_264,0.18934488,0.927485128,-0.668946095,1.012657653,0.15413993,-1.614681496
IPI00108372.1_Rasgrf2_543,-0.642531841,-0.750151597,1.607099126,0.315243014,0.510415929,-1.04007463
IPI00116442.1_Hdgfrp2_242,1.093207375,0.458554205,-0.887625311,-1.508766539,0.127637033,0.716993237
IPI00116442.1_Hdgfrp2_248,1.093207375,0.458554205,-0.887625311,-1.508766539,0.127637033,0.716993237
IPI00387232.1_Nsfl1c_116,1.247852827,-0.080956776,-1.042767656,-1.139002487,-0.010555985,1.025430077
IPI00828417.1_Rere_600,-0.177609223,1.592247498,-1.050918806,-0.593335386,0.80414239,-0.574526472
IPI00229534.5_Marcks_46,-0.081137731,0.094346129,1.821981961,-1.107768468,-0.657968425,-0.069453467
IPI00881499.1_Golim4_631,-0.370038031,-0.690098778,1.859365203,0.353907216,-0.840656227,-0.312479384
IPI00357545.1_Psen2_52,0.574830985,-0.90016876,-1.574987252,0.31869711,0.905573309,0.676054608
IPI00113389.5_Fam129a_576,-1.094918339,-0.117055547,0.655792437,1.568991015,-0.068932673,-0.943876893
IPI00830701.1_Tpm1_216,0.851197571,-0.011203108,0.265866779,-1.437191329,-0.855178556,1.186508644
IPI00874398.1_Fam65a_945,0.114452697,-1.418170018,-0.605890428,1.439987051,-0.226034887,0.695655585
IPI00330240.7_Peg3_14,0.480697249,0.344019177,-1.935469935,0.316421531,-0.097269476,0.891601455
IPI00230591.1_Akap1_134,-1.454849839,-0.174842931,1.00308934,0.803248665,0.681691501,-0.858336736
IPI00135186.1_Calu_47,-1.003938325,-0.931407314,-0.343580078,1.634113155,0.575708039,0.069104522
IPI00400215.3_Plec_1295,-0.576696877,-0.122522264,1.902914429,-0.01831203,-0.997922193,-0.187461065
IPI00153778.5_Thoc1_560,-0.499403949,-0.133934252,-1.068529676,0.830508917,-0.687156964,1.558515925
IPI00857253.1_Atrx_1041,-0.602770734,-0.896181503,0.92266189,-0.666000642,-0.318806867,1.561097857
IPI00130160.3_Rbm5_78,0.151637538,1.661095119,-0.406326201,-0.899441857,-1.000197062,0.493232463
IPI00331656.7_C80913_439,-1.275202109,0.128115625,1.586022567,0.495115711,-0.750409419,-0.183642375
IPI00915485.1_Myo9b_1328,-1.345542145,1.563154842,0.496014123,0.229636142,-0.506473995,-0.436788966
IPI00357145.5_Irf2bp2_228,-0.616224511,0.274853386,-0.231106046,-1.092797244,-0.144741357,1.81001577
IPI00263549.6_Nrbp2_24,-1.740935941,-0.278280429,0.373173892,0.95813167,-0.202769554,0.890680363
IPI00129526.1_Hsp90b1_306,-0.814393989,-0.081014323,-0.40342745,-1.09483931,1.424798179,0.968876894
IPI00453820.2_Rai14_251,-1.640292488,0.808892604,0.992238475,0.510394375,-0.031628938,-0.639604027
IPI00453820.2_Rai14_249,-1.476101708,1.073437517,0.939665042,0.49749628,-0.476686582,-0.557810549
IPI00310764.7_Arhgef2_646,-1.432538004,-0.526335767,0.553331592,-0.509974141,1.325150774,0.590365547
IPI00115660.1_Tcof1_1191,-1.022778785,-1.011479488,-0.5136072,0.300079327,0.96464238,1.283143766
IPI00857253.1_Atrx_801,1.654528513,0.471947869,0.125510297,-0.373751584,-0.69368529,-1.184549807
IPI00471476.1_Serbp1_237,0.654795341,1.043770289,0.786902238,-0.100342281,-1.256166675,-1.128958911
IPI00551482.3_Rbbp6_985,1.339871118,0.028993321,0.14162962,-0.063691157,0.309354557,-1.756157459
IPI00761240.4_6330577E15Rik_147,0.708718645,1.264377936,0.558775713,-1.246611848,-0.321034427,-0.964226019
IPI00850156.1_Mia3_309,0.842841412,-0.889210769,0.467031709,0.578949345,0.606089678,-1.605701374
IPI00112101.1_Tfip11_60,0.090450851,-0.882081493,1.861932353,-0.605654257,0.136588926,-0.601236379
IPI00132652.1_Znhit3_76,-0.194367835,-0.251999292,2.002380736,-0.72242931,-0.516424953,-0.317159347
IPI00671847.3_Ppp1r12a_861,1.236130654,1.03938597,-1.071581154,-0.031959766,-0.058926807,-1.113048897
IPI00474486.4_Leo1_151,0.437256601,0.091203164,-0.336883998,0.70952372,0.923783507,-1.824882994
IPI00474486.4_Leo1_154,0.437256601,0.091203164,-0.336883998,0.70952372,0.923783507,-1.824882994
IPI00221882.1_Slu7_235,1.722257595,0.051969212,-0.857327312,0.366791681,-0.230962269,-1.052728907
IPI00172284.2_Ifih1_291,0.261784774,1.091900838,0.499838118,0.426654287,-0.545217858,-1.734960159
IPI00172284.2_Ifih1_289,0.10389819,0.839533854,0.314857281,1.018550828,-0.611254717,-1.665585437
IPI00221566.3_Htatsf1_688,0.666455532,0.435776126,0.414282824,0.165607204,0.331993612,-2.014115297
IPI00453804.1_Dzip3_715,0.580985008,1.228567448,0.220136026,-0.696776599,0.263811199,-1.596723082
IPI00515528.3_Zc3h13_921,1.733986085,-1.143475612,0.065313574,0.006047249,0.149905565,-0.811776861
IPI00118139.2_Xrcc1_484,-0.412667924,-1.421933949,0.311261503,1.629022053,-0.213508432,0.107826749
IPI00118139.2_Xrcc1_487,-0.412667924,-1.421933949,0.311261503,1.629022053,-0.213508432,0.107826749
IPI00380953.6_AW555464_1122,1.180542852,-0.786685687,-1.326193044,0.855031094,0.53594005,-0.458635264
IPI00122450.1_Cald1_135,0.547506502,1.307278078,0.383031627,-0.075830293,-0.580140857,-1.581845057
IPI00110050.2_Cdk11b_264,0.486688999,-0.063503422,1.615878406,-0.079267,-0.647217905,-1.312579079
IPI00120919.4_Ctr9_970,1.277726699,-0.092511243,-0.89009267,0.411639115,0.682811174,-1.389573075
IPI00896718.1_Sbno1_766,1.773965175,0.322400494,-0.282374439,-0.094042832,-0.558797461,-1.161150937
IPI00896718.1_Sbno1_767,1.773965175,0.322400494,-0.282374439,-0.094042832,-0.558797461,-1.161150937
IPI00317271.3_Rbl2_989,1.319789698,0.840866866,-0.596066062,0.18609871,-1.436020193,-0.314669019
IPI00113635.7_Dkc1_485,0.478780719,0.481296417,0.846249028,0.538953166,-1.798078424,-0.547200907
IPI00337844.4_Ranbp2_1842,1.191715043,0.934039759,0.284343468,-0.137583882,-1.249048218,-1.02346617
IPI00337844.4_Ranbp2_1845,0.736287897,0.532107963,1.265401751,-0.317038451,-1.197754329,-1.019004831
IPI00453982.4_Rcor3_212,1.096708241,-1.289542344,-0.962234627,1.036758918,-0.192388771,0.310698583
IPI00377299.1_Exoc8_313,0.960806884,-1.366525686,0.711660886,-0.5224046,0.946879543,-0.730417027
IPI00351206.5_Pgrmc2_204,0.695400545,-1.714766015,-0.505511154,1.036880934,0.495256777,-0.007261087
IPI00808206.1_Acin1_125,-0.561564041,0.857436256,1.451209626,0.11440589,-0.70963018,-1.15185755
IPI00673693.1_Zc3h18_75,0.953656628,0.868528307,-1.371233524,-0.639233806,0.811626825,-0.623344429
IPI00454015.2_Sugp1_483,1.697502056,-0.386436149,0.18690057,-0.592322826,0.31310262,-1.21874627
IPI00133262.1_Zeb1_1009,0.346377523,1.153366918,-1.336188287,0.829345651,0.043746755,-1.03664856
IPI00153798.1_Hexim1_103,-1.008449421,-1.026932826,0.538111488,-0.138591561,1.618444863,0.017417458
IPI00970419.1_Fnbp1l_501,1.427315854,0.880261895,-0.676254827,-0.870791883,-0.964690717,0.204159677
IPI00896718.1_Sbno1_752,1.536834028,-0.316872638,-0.699812389,0.022685753,-1.246134282,0.703299529
IPI00896718.1_Sbno1_753,1.536834028,-0.316872638,-0.699812389,0.022685753,-1.246134282,0.703299529
IPI00130573.1_Cpd_1367,1.272283712,0.052463836,0.574905995,0.39374145,-1.509438569,-0.783956424
IPI00130573.1_Cpd_1365,0.739426173,-0.221515704,0.200130366,1.414476067,-1.277884126,-0.854632776
IPI00266463.5_Srrt_4,-0.422857144,-0.543089807,0.093460762,1.941063719,-0.235246081,-0.833331449
IPI00929813.1_Nap1l1_37,1.273573415,0.886045316,0.206441126,-0.669491183,-1.424012328,-0.272556346
IPI00785231.1_Pnn_347,-0.643156611,-0.578871167,-0.989147215,0.191298507,1.78333979,0.236536696
IPI00515528.3_Zc3h13_1090,1.28212452,-1.022078762,-1.095468042,-0.355120861,0.967195068,0.223348076
IPI00515528.3_Zc3h13_1093,1.28212452,-1.022078762,-1.095468042,-0.355120861,0.967195068,0.223348076
IPI00453791.3_Tiam2_1590,0.850624316,-1.000327789,0.37928412,-1.447812817,0.992338854,0.225893317
IPI00889910.1_Suds3_55,-0.113507034,1.991790132,-0.678436843,-0.172214169,-0.544961675,-0.482670411
IPI00751399.2_Ubxn7_395,0.251035119,0.206838481,-1.299863692,0.342673515,1.466718257,-0.967401681
IPI00387203.1_Mfsd11_204,-0.068863683,-0.530551846,-1.344201338,0.113414414,0.134328546,1.695873906
IPI00123012.1_Zfp330_291,-0.33878059,1.798947437,0.499926044,-0.867201846,-0.388576393,-0.704314652
IPI00351044.2_4933407H18Rik_403,1.023031128,-1.644788125,-0.202251156,0.40517156,-0.481703172,0.900539764
IPI00461536.2_Nol8_888,0.08926643,0.279391527,0.733873443,1.235923201,-1.407670723,-0.930783877
IPI00648408.1_Nrd1_85,-1.104155015,0.746231224,1.275615354,0.218026591,0.104570353,-1.240288507
IPI00420601.6_Usp10_571,1.018901802,1.328906064,0.059887759,-0.5938182,-1.218840567,-0.595036859
IPI00351206.5_Pgrmc2_202,0.033766043,1.745650512,-1.353470219,-0.037900562,-0.047468635,-0.340577139
IPI00119111.2_Cnn3_298,0.263610648,1.05999187,0.822103218,-1.312022468,-1.145592658,0.31190939
IPI00850030.1_NA_368,-0.671482694,0.212922927,1.931700442,-0.310493202,-0.577607581,-0.585039891
IPI00752710.1_Cebpz_629,0.644988172,-1.140490403,-1.281213005,0.911149765,-0.034640759,0.90020623
IPI00752710.1_Cebpz_641,0.617983529,-0.923605038,-1.377039697,1.015474974,-0.220957877,0.888144109
IPI00466187.5_Myo10_1162,-0.36558704,-1.187181938,1.72551628,-0.395861938,0.497524924,-0.274410288
IPI00330331.7_Brd1_934,-0.225202581,1.928374975,-0.412178933,-1.008887379,-0.180528462,-0.10157762
IPI00678133.3_Inf2_1174,-1.49245692,0.796101818,1.145445263,-0.478780167,0.561232316,-0.53154231
IPI00223738.2_Oxsr1_339,-0.199329706,-0.694381547,-0.563379019,-0.886480753,0.611118356,1.732452668
IPI00125880.1_Pacsin2_399,-0.291846252,0.879916621,1.276373341,-1.547011679,-0.342858511,0.025426479
IPI00172174.3_NA_251,-0.488633842,0.594032296,-1.816807123,0.724234702,0.27472361,0.712450357
IPI00115701.1_Usp4_680,0.884567626,-0.78233478,0.778338681,0.73224632,-1.568939555,-0.043878292
IPI00311453.5_Nop2_169,1.218421326,0.03266696,0.124900794,-0.946709603,-1.334992948,0.905713471
IPI00265217.4_Rcor1_251,-0.233429964,0.884581302,0.409775167,-0.243206885,-1.750803998,0.933084377
IPI00119111.2_Cnn3_293,0.053189235,1.122228371,0.873868977,-1.210069774,-1.180435624,0.341218814
IPI00137942.2_Rnf4_98,0.362451222,-0.110185876,-0.749806996,-1.49806139,1.169373633,0.826229406
IPI00137942.2_Rnf4_99,0.303927491,0.17839579,-0.805692661,-1.552172336,1.108936035,0.766605681
IPI00221566.3_Htatsf1_621,-0.452918654,-0.553723282,1.072773539,1.17765638,-1.38904239,0.145254407
IPI00622783.2_Stk39_397,0.598880797,0.180902529,1.418515233,-1.0308177,0.069076424,-1.236557284
IPI00222813.1_Hirip3_163,0.936138895,0.833147423,0.866730018,-0.467777994,-0.850834569,-1.317403773
IPI00222813.1_Hirip3_167,0.936138895,0.833147423,0.866730018,-0.467777994,-0.850834569,-1.317403773
IPI00229856.1_Dcaf8_100,-0.734152851,0.081551281,1.953078829,-0.40691047,-0.640490823,-0.253075966
IPI00118853.1_Mre11a_648,-0.261532545,0.00449458,-0.081177148,-1.277300672,-0.189375038,1.804890824
IPI00515528.3_Zc3h13_1144,-1.674695953,0.902028491,1.114860697,-0.360306564,-0.057422001,0.07553533
IPI00126181.9_Akap13_2326,-0.281069649,-0.466626071,-0.825481795,-0.201975712,-0.209114112,1.984267338
IPI00124298.2_Arhgap5_1174,-1.56429212,0.122637521,1.256619333,0.440335949,0.47748315,-0.732783833
IPI00124298.2_Arhgap5_1177,-1.56429212,0.122637521,1.256619333,0.440335949,0.47748315,-0.732783833
IPI00230719.8_Braf_484,-1.29864818,-0.202282123,-0.348987841,-0.14323847,1.752868077,0.240288536
IPI00762553.2_Dst_2418,-1.519569404,-0.831755734,0.062747503,0.365663278,0.881944494,1.040969862
IPI00474486.4_Leo1_140,-0.456388533,-0.645471595,0.180294737,-0.569520421,-0.459975193,1.951061005
IPI00110298.1_Pold3_306,0.460583492,-0.149355235,1.749057377,-0.96437581,-0.251455099,-0.844454725
IPI00857376.1_2310008H09Rik_366,-0.67927339,0.884920617,-0.447450982,-1.23484334,0.052681737,1.423965358
IPI00125138.1_Csf1_531,-1.050109836,0.351520614,0.49522541,-0.977320788,1.558921258,-0.378236659
IPI00125138.1_Csf1_530,-1.182587355,0.235616509,0.381020525,-1.10893762,1.457293918,0.217594023
IPI00127237.1_Pex14_334,-0.674206388,-0.319424202,1.237305417,-1.283517195,1.121766998,-0.081924629
IPI00678133.3_Inf2_1172,0.321939601,-1.978404117,0.650409313,0.077656278,0.216967801,0.711431124
IPI00678133.3_Inf2_1173,0.272713596,-1.888681809,0.948285608,-0.145078385,0.174082437,0.638678552
IPI00348442.1_Sfrs18_286,-1.324182861,-0.63088392,-0.685654827,0.81283685,1.06743114,0.760453617
IPI00409176.1_Cast_444,-0.933340801,-1.089457602,1.407814325,-0.408571814,0.144864025,0.878691867
IPI00515528.3_Zc3h13_1086,-1.9132611,-0.068214692,0.092690834,0.328189275,0.799656109,0.760939574
IPI00131810.2_Zfr_1054,-1.649499817,-0.782565623,0.329130191,0.79561117,0.465420895,0.841903185
IPI00653072.1_Dync1i2_174,-1.747332965,-0.489441338,0.649057631,1.054401955,0.393194112,0.140120605
IPI00467530.3_Ablim1_671,-1.807825041,-0.523248763,0.522508011,0.361391989,0.663567936,0.783605868
IPI00458056.3_Ncbp1_22,-1.755402792,-0.443760198,0.233560732,0.218217084,0.658296277,1.089088897
IPI00114410.1_Pten_366,-0.134099273,1.198759912,-0.472187029,-1.444785529,1.08623491,-0.233922991
IPI00462466.6_Setd2_1926,0.26253591,1.87366855,-0.579767878,-0.743078525,-0.08937089,-0.723987167
IPI00268218.5_Bnc2_757,1.084072752,0.714312504,0.713997308,-1.394514226,-0.901911588,-0.21595675
IPI00134095.3_Birc6_461,-1.121112119,-0.475977976,-0.326940227,-0.508330798,0.905478002,1.526883119
IPI00268218.5_Bnc2_754,0.409175637,0.116714403,1.020295421,-1.551258478,-0.825574162,0.830647179
IPI00515528.3_Zc3h13_1141,-1.651983026,1.017096733,1.056223026,-0.236347752,0.062244829,-0.24723381
IPI00463573.3_Eif3l_10,-0.293891545,-1.268361657,0.600987971,1.417463777,-0.872474089,0.416275543
IPI00120691.3_Ddx21_244,0.464895359,1.008798599,-0.873711675,1.185224742,-0.94048801,-0.844719016
IPI00136917.5_C230081A13Rik_1410,0.310295049,0.859788972,-1.112320155,-1.035779664,1.318503775,-0.340487977
IPI00133262.1_Zeb1_1018,-1.315420343,-0.861709343,-0.14370759,0.98952779,1.231833486,0.099476
IPI00623208.1_Ksr1_518,-0.524456176,-0.724031946,-0.856826412,1.790568593,0.482106378,-0.167360437
IPI00126131.3_Extl3_361,1.849058728,-0.06600266,0.095754473,-1.119789421,-0.492363726,-0.266657393
IPI00395035.1_Kat5_223,1.525161008,-1.100555498,-0.478824711,-0.461389344,-0.408372199,0.923980743
IPI00124885.2_Xpc_93,-1.637852077,-0.410386772,1.109671376,-0.07263028,0.057761238,0.953436516
IPI00314443.3_Adam17_792,1.921078285,-0.3049544,-0.963870234,-0.157248799,0.017236238,-0.51224109
IPI00119242.1_Fnbp4_533,1.611134589,0.229457426,-0.337391861,-1.253375089,-0.688652705,0.438827639
IPI00411129.2_Fgf14_237,1.168034131,-1.167899189,1.046864484,0.378324325,-0.620794271,-0.80452948
IPI00323238.5_Setd1a_931,-0.655641821,0.998068229,-0.793363174,-0.538762067,1.535174373,-0.54547554
IPI00753701.3_Mdc1_471,0.578085612,-0.479475037,1.392059444,-0.560140995,0.470521561,-1.401050586
IPI00415385.1_Bclaf1_267,-0.255567306,-0.169303092,0.599180219,-1.674957813,1.305098278,0.195549713
IPI00415385.1_Bclaf1_256,-1.599738765,-0.275744255,-0.045933927,-0.033122016,1.452391948,0.502147015
IPI00896602.2_NA_795,0.711940564,-0.071460568,-1.036878936,-1.170103521,1.42231651,0.144185951
IPI00134680.2_Saal1_374,1.65483357,-0.79058151,-0.92444833,0.363552523,0.397739324,-0.701095578
IPI00380829.4_Trip11_1888,1.024908289,-0.027578886,1.404168343,-0.865670163,-0.612437656,-0.923389927
IPI00122958.1_Mcl1_144,-1.819604918,-0.302906123,0.681840971,0.890415658,0.581842636,-0.031588224
